Question,Answer1,Answer2,Answer3,Answer4,Correct Answer(s)
"1.行政院衛生署推動「國家健康網路建設計劃」至今，使國內醫療院所都為跨醫院電子病歷作業發展努力，也體認到醫療資訊標準的重要性。目前推動的醫療資訊標準為:","IHE ","DICOM "," HL7 ","以上皆是。",Ans4
"2.目前最通行的網際網路是在什麼網路架構下：","IBM SNA ","Novell LAN ","TCP/IP ","以上皆是。",Ans3
"3. HL7 (Health Level 7) 醫療資訊標準著重於 OSI(Open Systems Interconnection )reference model 的哪一層為主?"," Data Link "," Application "," Network "," Presentation",Ans2
"4.醫院資訊系統中的病歷管理系統功能，不包括下列何者?","疾病分類登記 ","病歷查詢 ","資材供應 ","病歷歸檔作業",Ans3
"5.下列哪些屬實施 PACS 系統後所能改善之醫院管理項目:"," 病患等候檢查之時間 ","等候洗片的時間 ","X 片袋儲存空間 ","以上皆是",Ans4
"6.醫院如欲建置影像傳輸系統(PACS)須考量與何系統之整合：","醫療品質管理系統 ","電子資料交換系統(EDI) ","醫療資訊系統(HIS)","高階主管資訊系統(EIS)",Ans3
"7.目前世界上最完整的醫學詞彙標準是"," HL7 "," ICD-10 "," MeSH "," SNOMED。",Ans4
"8.檢傷分類分級中，需要最優先處理的是:"," 一 "," 二 "," 三 "," 四 級",Ans1
"9.病人在住院後，依照建議治療病人，然後由醫護人員對照實際的治療程序與差異，直到病人出院的是:","臨床準則 ","疾病分類 ","DRGs ","臨床路徑",Ans4
"10.目前國內醫院所使用之資訊系統多為何種架構：","階層式(hierarchical) ","網狀式(network) ","關聯式(relational) ","檔案(file)",Ans3
"11.下列對於健保給付制度優缺點比較何者有誤：","論量計酬對於醫師的醫療行為自主權較高，但易間接鼓勵助長醫療費用上漲","論病例計酬可以適用所有疾病項目","論人計酬會使醫院對醫療成本降低，但是會減少醫院對 病人的醫療項目影響醫療品質","總額給付，可減低中央健保局財務負擔，但會造成醫院營收減少，可能產生人球事件",Ans2
"12.下列何者醫療設備及相關系統與 PACS 無直接關係："," LIS "," CT "," MRI "," CR/DR",Ans1
"13.下列網路架構何者速度最快：","乙太網路(Ethernet) ","非同步傳輸模式(ATM)","超高速乙太網路(Gigabit Ethernet) ","記號環(Token Ring)",Ans3
