Question,Answer1,Answer2,Answer3,Answer4,Correct Answer(s,Year,Chapter
"0. HL7 (Health Level 7) 醫療資訊標準著重於 OSI(Open Systems Interconnection ) reference model 的哪一層為主?"," Data Link ","Application "," Network "," Presentation ",Ans2
"1. 醫院資訊系統中的病歷管理系統功能，不包括下列何者?","疾病分類登記 ","病歷查詢 ","資材供應 ","病歷歸檔作業 ",Ans3
"2. 檢傷分類分級中，需要最優先處理的是:"," 一 "," 二 "," 三"," 四 級 ",Ans1
"3. 病人在住院後，依照建議治療病人，然後由醫護人員對照實際的治療程序與差異，直到病人出院的是:","臨床準則 ","疾病分類 ","DRGs","臨床路徑 ",Ans4
"4. The suffix -algia is defined as: "," record ","inflammation "," pain","blood condition ",Ans3
"5. The prefix meta- , like in the word metastasis, is defined as:"," beyond "," behind "," small "," new ",Ans1
"6. Which one is not a medical informatics standard:"," CDA "," ADT"," SNOMED "," HL7 ",Ans2
"7. Which of the following abbreviations is NOT a correct mnemonic code forthe meaning behind the abbreviation? "," OB-GYN: Department ofObstetrics and Gynecology. "," OR: Department of Surgery "," CAR:Department of Cardiology "," ENT: Department of Ear, Nose, Throat",Ans2
"8. Which one is not clinical decision support systems? ","computer-assisteddosage systems "," registration and billing systems ","preventive carereminder systems ","computer-aided quality assurance systems ",Ans2
"9. Which statement regarding biases in demonstration studies is wrong? ","Volunteer effect means volunteers perform better than others"," Placeboeffect means patients’ symptoms improve if “high tech” computers arepresen"," Hawthorne effect means subjects learn from the system, soperformance improves on control cases ","Checklist effect meansperformance improves if clinicians use a checklist ",Ans3
"10. Which data used for patient monitoring in ICUs is not continuous variable?","Blood pressure ","ECG ","Respiratory ","Blood chemistry",Ans4
"11. The data modeling perspective that derives the business rules for a datamodel from an intimate understanding of the nature of the business, ratherthan from any specific information requirements in screens, reports, or business forms, is referred to as the: "," top-down approach "," bottom-upapproach "," overview approach "," business approach ",Ans1
"12. Graphically representing the functions, or processes, that capture, manipulate,store, and distribute data between a system and its environment and betweencomponents within a system refers to: "," data modeling "," structuremodeling "," process modeling "," transition modeling ",Ans3
"13. A computer-based file containing employee information would berepresented on a data flow diagram as: "," data flow "," data store ","process "," action stub ",Ans2
