Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4
Ans1,1. False negative result is a _____ error:, type I, type II, type III, type IV
Ans3,2.The suffix-algia is defined as:, record,inflammation, pain , blood condition
Ans4,"3. In health care, the most widely used classification system is:", SNOMED, DRG, LOINC, ICD
Ans4,"4. Health is a state of complete _____ well-being, and not merely the absence ofdisease or infirmity", physical , mental , social , all of above
Ans3,5. ILIAD expert system is a:, rule-based system, semantic network system, frame-based system, none of above
Ans4,6. Which one is not CDSS(Clinical Decision Support System):, Iliad , QMR, MYCIN, none of above
Ans1,"7.The prefix meta- , like in the word metastasis,is defined as:", beyond, behind, small, new
Ans2,8. What does it mean when the sensitivity of a test is said to be high?," It means that, in the case of a patient not having the disease, the chance of getting a positive test result is (relatively) high."," It means that, in the case of a patient having the disease, the chance ofgetting a positive test result is (relatively) high."," It means that, in the case of a patient not having the disease, the chance ofgetting a negative test result is (relatively) high."," It means that, in the case of a patient having the disease,  the chance of getting a negative test result is (relatively) high."
Ans1,9. Which finding is of no diagnostic value ?, Its likelihood ratio = 1 , Its likelihood ratio < 1, Its likelihood ratio > 1 , Its likelihood ratio almost = 0
Ans2,10. Cost/benefit analysis should be done:, only before a project is started, by the project manager and checked independently., both before the project is started and also during its realization," only after completing the project, because then the real costs are known"
Ans2,11. A project proposal should not be accepted only if:, costs exceed quantifiable benefits , costs exceed benefits., costs exceed monetary benefits , costs are high
Ans3,"12. Which one is simply CIS located adjacent to where care takes place, in most circumstances at the bedside.:", POS , POE , POC, POR
Ans4,13. uHealthcare means:, Unique Healthcare, Universal Healthcare, Unified Healthcare, Ubiquitous Healthcare
Ans2,"14. The 3 dimensions of security (confidentiality, integrity, availability) are:", partially conflicting," related, sometimes reinforcing, sometimes conflicting", mutually independent, mutually reinforcing
Ans4,15. Who is responsible for security in a healthcare establishment ?, the patient, the government, top management, every employee at his/her own level
Ans4,16. Which one is not the aim of an HIS:, more efficient use of the restricted resources available for patient care, qualitative improvement of the service to the patient, support of research and teaching., support of shopping
Ans2,"17. In the following truth table it is indicated for which combinations of symptoms S1 to S5 a positive or a negative decision D is made on the presence of a disease:S1S2S3S4S5D11111+10110+01110+01011+10011+01001-11000-10010-10101-A [1] indicated the presence of a symptom, a [0] the absence. For how many different combinations of S1 to S5 it cannot be stated with certainty whether the disease is present or not?",16,23,11,7
Ans4,"18. In order to avoid unnecessary trouble for the 'patients' and to minimize health care costs, the aim in screening for disease x is to admit as few healthy (e.g. not having disease x) people as possible into the health care system. In achieving this, which one of the next test parameters (in percentages) should be as small as possible: TP (true positive), FP (false positive), FN (false negative) or TN (true negative)?", FN (false negative)., TN (true negative)., TP (true positive)., FP (false positive). 
Ans3,19.下列敘述何者正確 ?,UML是Unified Medical Language 之縮寫,UMLS是Unified modeling language schema 之縮寫,UML是軟體開發時使用的建構模型的語言,UMLS是軟體開發時使用的語言
Ans2,20.下列有關LOINC之敘述何者為真？,是Logical Observation Interaction Names and Codes之縮寫,是一種臨床檢驗編碼系統,已經包含了所有之檢查,醫院臨床檢驗都已經採用LOINC
Ans1,21.老郭去關西摸骨三次，老師傅對他的陽壽之預測三次皆相同，這可以視為老師傅之預測的,信度（Reliability）不差,效度（Validity)不差,信度與效度都不差,與信度效度無關
Ans4,22.下列有關個人資訊隱私之敘述何者正確,個人資訊隱私神聖不可侵犯，是至高無上的價值,為了研究方便可以不需要理會隱私問題,只要行事坦蕩，其實不需要在意隱私,個人資訊隱私可以視為其對個人資訊之控制權
Ans3,23.軟體系統各階段之測試，何者比較可能以白箱測試的形式進行,驗收測試,系統整合測試,單元測試,平行測試
Ans1,24.下列有關門診與住院醫令系統之敘述，何者為真？,住院醫令系統之醫囑較門診醫令系統複雜,門診系統不需要報告查詢,醫令系統與檢驗資訊系統（LIS）沒有任何關連,臨床照護指引不可能和醫令系統整合
Ans3,25.電子病歷是文件的一種，下列何者不是它的特性,複雜,私密,目前有統一的格式,提供持續照顧的可信賴資料來源
Ans4,26.下列法令何者與電子病歷無關？,電子簽章法,醫療法,醫師法,資訊公開法
Ans4,27.下列何者不是量度網路穩定度的指標,MTBF(mean time between failure),MTBSO(mean time between service outage),MTTR(mean time to repair),DALE(disability adjusted life expectancy)
Ans3,28.何者不是我國衛生醫療資訊之優勢,台灣資訊科技與醫療產業發展，已在國際占有一席重要地位,健保IC卡等專案之推動，醫療院所已經建立每日網路連線的作業環境,轉診檢制度已經具體落實,衛生署對於未來電子病歷政策的發展已有明確方針
Ans1,29.透過視訊與資訊，讓離島或偏遠?有某種專科醫生也可立即為病人提供醫療臨床服務，此種方式稱為：,遠距會診 ,遠距教學 ,遠距照護 ,通訊醫療。
Ans3,30.在醫院術語中，何謂UD：,單一伙食 ,統一配藥,單一劑量調劑,統一配伙。
Ans2,31.醫院主機或網路採高可靠性(HA)架構，其目的主要為：,平均分擔系統負荷，提升系統運作效能,一部故障時，另一部可即時承接，保持系統不中斷,可提高設備單位使用效益，讓主機/網路單位時間內發揮大產能,HA是目前的趨勢，因此可以趕上潮流
Ans2,32.藥物不良反應一般簡稱為：,ACLS, ADR,DNGR,AERS。
Ans1,33.在急診(資訊系統)，所謂”OHCA”是指：,到院前死亡,留院觀察,轉住院 ,開刀急救中。 
Ans2,34.現行我國行政院衛生署推動之HCA認證中，可用於病人就診時讀取病人重大傷病等病人?私資料者為：,醫療機構卡,醫事人員卡,病人IC卡,自然人憑證。
Ans1,35.下列何者不是防火牆的主要功能：, 資料加密；, 企業內/外IP之轉換, 偵測與阻檔異常之使用者(IP)/封包(入侵), 進出紀錄 (log)。
Ans1,36.資料庫查詢語言(SQL)中，要刪除整個資料表(table)，陳述指令為：,DROP, DELETE,UPDATE, ERASE。
Ans3,37.兩個資料表(table)要產生關聯(relation)，必須要有key，下列描述何者為非：,被參考資料表所引用的稱為外部參考鍵(Foreign Key),主鍵(Primary Key) 的值不可為NULL,主鍵的值可重覆,外部參考鍵的值可為NULL 
Ans4,38. DRG( Diagnosis-Related Groups)：,用以代表住院病患的診斷類別,作為醫療費用給付的參考,以住院天數為編碼考量,以上皆是。 
Ans1,39.HL7 (Health Level 7) 醫療資訊標準著重於OSI(Open Systems Interconnection ) reference model的哪一層為主?, Application, Presentation, Network, Medical Link
Ans4,40.病人在住院後，依照建議治療病人，然後由醫護人員對照實際的治療程序與差異，直到病人出院的是:,臨床準則 ,疾病分類 ,疾病診斷相關群,臨床路徑
Ans2,41.下列何者醫療設備及相關系統與PACS無直接關係：,CT, LIS, MRI, PET
Ans2,42.在網路中負責發信工作的協定是？,FTP , SMTP , POP , SNMP
