Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans2,"1.現在很多公共場合可看到 AED 標誌，號稱傻瓜電擊器的 AED，英文是? (時事題)"," Aspiration External Defibrillators "," Automated External Defibrillators"," Acute Endocarditis Decortication ", Arrhythmia External Dissection
Ans3,"2.現在很多小孩子有注意力缺失與過動障礙(ADHD)問題，英文是? (**158)"," Adjustment Disorder/Hyperactivity Disorder"," Anxiety Disorder/Hyperactivity Disorder"," Attention-Deficit/Hyperactivity Disorder", Attention-Deficit/Hostile Disorder
Ans3,"3.子宮脫垂即是骨盆腔的肌肉、韌帶及各層結締組織鬆弛後，子宮因地心引力牽扯而往下掉， 並且常常伴隨膀胱、尿道、腸子等器官脫垂，造成許多不適與後遺症。子宮脫垂的術語是? (**135)"," Umbilical Prolapse "," Prolapse Vagina"," Uterine Prolapse ", Venereal Disease
Ans2,"4.心房撲動好發於心臟病患者，或是心臟病發作或胸部受到創傷後，導管燒灼術為電生理學家的心房撲動首選療法，在緩解患者症狀方面有很高的成功率，心房撲動的術語是?(**22)"," Atrial fibrillation "," Atrial flutter"," Ventricular fibrillation ", Ventricular tachycardia
Ans4,"5.Positron Emission Tomography (PET) 是指? (**44)","癌症基因篩檢 ","內視鏡檢查 ","核磁共振攝影 ",正子斷層造影
Ans2,"6.顱內動脈瘤破裂引起的蜘蛛膜下腔出血，是可怕的腦出血性中風。蜘蛛膜下腔出血術語為? (**76)"," Herniated Intervertebral Disc (HIVD) "," Subarachnoid Hemorrhage (SAH)"," Epidural Hemorrhage (EDH) ", Subdural Hemorrhage (SDH)
Ans4,"7.現代人手機平板的大量使用，造成腕隧道症候群(CTS)人數大增，腕隧道症候群正確說法? (**8)"," Carpel Tunnel Syndrome "," Carpet Tunnel Syndrome"," Carper Tunnel Syndrome ", Carpal Tunnel Syndrome
Ans2,"8.承上題，藍光可能對視網膜造成傷害，請問視網膜的術語? (**99)"," sclera "," retina "," cornea ", conjunctiva
Ans2,"9.MeSH(Medical Subject Headings)是一套專為醫學文獻分類所設計的詞彙系統，由美國國家醫學圖書館所設計及維護。請問 MeSH 屬於哪一種結構的詞彙系統?(*86)","網狀 ","樹狀 ","線狀 ",星狀
Ans2,"10.電腦間通訊的基本原則是由下列哪一個組織所制定的 OSI (Open SystemsInterconnection) reference model? (*87)"," ANSI "," ISO "," EDIFACT ", CEN
