Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,1. 主動脈剝離是致死率很高的心血管疾病，主動脈剝離的英文是？(**21),Acute Myocardial Infarction ,Aortic Dissection,Varicose Vein ,Atrial Flutter,201610,(**21),
Ans1,2. 近期電視時常廣告胃食道逆流藥品，有病痛還是應該就醫。請問胃食道逆流疾病的英文是？(**48),Gastroesophageal Reflux Disease ,Hernia,Peritonitis. ,Duodenal Ulcer,201610,(**48),
Ans2,3. 臺灣有近 60 萬人感染 C 型肝炎，國內 C 肝口服新藥給付明年正式上路。請問肝炎的英文是？(**48),Gingivitis ,Hepatitis ,Mumps ,Cirrhosis,201610,(**48),
Ans3,4. 季節轉換易引起氣喘發作。氣喘的英文是？(**53),Arrhythmia ,Asystole ,Asthma ,Aromatic,201610,(**53),
Ans2,5. 某醫學中心名醫，遇到「植入性胎盤」產婦，生產時風險很高，使用人工合成止血基質，引起網民與健保署的重視與討論。植入性胎盤的英文是？(**131),Uterine Fibroids ,Placenta Accreta,Ovarian Cysts ,Salpingitis,201610,(**131),
Ans2,6. 鄉土劇議長角色顱內動脈瘤破裂引起的蜘蛛膜下腔出血，是可怕的腦出血性中風，必須緊急手術。蜘蛛膜下腔出血術語為？(**76),Herniated Intervertebral Disc(HIVD),Subarachnoid Hemorrhage(SAH),Epidural Hemorrhage(EDH),Subdural Hemorrhage(SDH),201610,(**76),
Ans4,"7. 中部骨科名醫，涉嫌利用更換人工膝關節手術機會，收取回扣並詐領健保給付而被羈押，請問膝關節的英文是？(**81,**183)",Neck Joint ,Hip Joint ,Ankle Joint ,Knee Joint,201610,"(**81,**183)",
Ans4,"8. 去年流感疫情大爆發，死亡、重症人數創下歷年新高，讓民眾心有餘悸，導致自費流感疫苗「一針難求」。請問流感疫苗的英文是？(**153,時事題)",Relenza ,Rheum Vaccine ,Tamiflu . ,Flu Vaccine,201610,"(**153,時事題)",
Ans1,9. 醫療機構之組織型態將會影響機構的營運與效率。臺灣目前醫院之組織型態大多屬於何種形式？(*11),功能式 ,專科式 ,矩陣式 ,平行式,201610,(*11),
Ans4,10. 臺灣健康資訊發展策略地圖的四個構面，下列何者正確？(*58),資料庫構面、網路構面、醫學影像構面、資訊安全構面。,財務構面、顧客構面、內部流程構面、外部流程構面。,醫院構面、病人構面、保險構面、資訊構面。,財務構面、顧客構面、內部流程構面、學習與成長構面。,201610,(*58),
Ans3,11. 對於美國所使用的 HIPAA(Health Insurance Portability and Accountability Act)，以下敘述何者不正確？(*83),與健康保險資料有關 ,是一個隱私保護的法案,規範病人就醫的行為 ,要求醫療資訊傳送的安全管理,201610,(*83),
