Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans4,1. 新冠肺炎(COVID-19)疫情大爆發，死亡、重症人數創下歷年新高，讓民眾人心惶惶。各國政府都希望優先取得疫苗份額，甚至引發政治口水。請問疫苗的英文是？(**162),Pathogen ,Antibody ,Antigen ,Vaccine,202011,
Ans3,2. 承上題，肺炎重症病患，有可能需要執行氣切(氣管切開術)插管。氣切的英文是？(**42),Pulmonary Fibrosis ,Emphysema,Tracheotomy ,Pulmonary Obstruction,202011,
Ans1,3. 呈上題，新冠肺炎讓 RT-PCR 的檢測也成為熱搜。請問一下 PCR 檢測的英文是？(時事題),Polymerase chain reaction ,Polymerase category reaction,Policy category reaction ,Pollution class rearrange,202011,
Ans1,"4. 流感疫苗在國內亦出現搶打的狀況，而施打後有少數人可能會出現疫苗副作用，包括頭痛、發燒、肌肉痠痛、噁心、皮膚搔癢或出疹等症狀。請問噁心的英文是？(**59,188)",Nausea ,Pruritus ,Edema ,Asthma,202011,
Ans1,5. 長青藝人連續 26 年都在 TICC 舉辦跨年演唱會，但今年卻突然取消，原因是口腔長了腫瘤進醫院動手術。腫瘤的英文是？,Tumor ,Mole ,Sore ,Cellulitis,202011,
Ans1,6. 大學生尋短人數創新高，有人反思教育環境有許多讓大家焦慮的結構性因素。請問焦慮症的英文是？(**170),Anxiety Disorder ,Anorexia Nervosa,Alzheimer's Disease ,Obsessive-Compulsive Disorder,202011,
Ans3,7. 子宮脫垂常常伴隨膀胱、尿道、腸子等器官脫垂，造成許多不適與後遺症。子宮脫垂的術語是？(**139),Umbilical Prolapse ,Prolapse Vagina,Uterine Prolapse ,Venereal Disease,202011,
Ans1,8. 心房顫動是心臟不正常節律/心律不整的一種，特色是心臟快速而不規則的跳動。心房顫動的英文是？(**199),Atrial Fibrillation ,Atrial Flutter,Ventricular Fibrillation ,Ventricular Tachycardia,202011,
Ans4,9. 臺灣於 2014年開始推動「臺灣健康雲計畫」，其中涵蓋四朵子雲，請問以下何者不是其中的一朵子雲？(*31),防疫雲 ,保健雲 ,醫療雲 ,食安雲,202011,
Ans1,10. 臺灣健康雲計畫中，為所有醫院 EMR Gateway 上的 XML 格式病歷檔案產生索引，並提供搜尋與調閱，是下列哪一項服務？(*32),電子病歷交換中心,我的健康讚平台及 App,健保醫療資訊雲端查詢系統 ,健康存摺,202011,
Ans4,11. 對於標準產生的方式，下列敘述何者正確？(*63),ICD-10 是健保署規定作為疾病診斷申報標準，屬於任務導向標準。,DICOM 是因為影像產品市場強大的佔有率，而形成的實質標準。,Windows 作業系統因為多數人使用，而成為政府強制型標準。,HL7 是由各相關領域之志願者，依標準制定程序所產生的共識型標準。,202011,
Ans4,12. 醫院不論採用何種治療手段、藥物、住院天數，健保就只給醫院同一種給付價格的給付方式，是根據下列何種代碼？(*67),MeSH ,DICOM ,LONIC ,DRGs,202011,
Ans3,13. 下列哪一套醫學詞彙代碼系統字詞間的關係是由語意網路來表達，而且具有處理相似詞、相反詞、拼錯字及多國語言的能力？(*68~69),DRG ,ICD9-CM ,UMLS ,LOINC,202011,
Ans4,14. 所謂 DICOM 是指下列何者的縮寫？(*71),Digital Image Common Model,Digital Identification Connection in Medicine,Diagnostic Imaging Communication in Medicine,Digital Imaging and Communication in Medicine,202011,
Ans4,15. FHIR 奠基於 HL7 (Health Level Seven)資料標準，FHIR 的主要目標就是促進醫療單位有效溝通醫療訊息，更要把醫療訊息廣泛使用於多樣的設備上，包括電腦、平板電腦和智慧型手機，不但能更輕鬆的提供醫療服務訊息給醫院和個人，也能提供系統化資訊給第三方應用程式開發者。請問 FHIR 的全名是？(*71),First Healthcare Interoperability Resources,Fast Healthcare International Resources,First Healthcare International Resources,Fast Healthcare Interoperability Resources,202011,
Ans3,16. 三層式資料庫結構將資料庫綱要分為三層，下列哪一層用來描述實際的資料庫儲存結構和存取路徑的細部資料？(*84),外部層 ,概念層 ,內部層 ,實體層,202011,
Ans4,17. 有關關聯式資料庫的完整性限制，對於被參照資料表的主鍵(PrimaryKey)與參照資料表的外來鍵(Foreign Key)的敘述下列何者正確？(*95),主鍵在資料表中可以是空值,主鍵的值在資料表內可以重複,外來鍵的值在參照資料表內，必須是唯一無二不可以重複,外來鍵的值必須是在被參照資料表的主鍵值或者為空值,202011,
Ans4,18. 下列何者是指在資料庫設計時，會遵循相同的設計模式，檢查資料是否重複存放，其目的是建立「良好結構的關聯表」，這是一種沒有重複資料的關聯表，而且在新增、刪除或更新資料時，不會造成錯誤或資料不一致？(*98),最小化(Minimization) ,最佳化(Optimization),視覺化(Visualization) ,正規化(Normalization),202011,
Ans3,19. 跨醫療院所或衛生行政機關所採用的虛擬私有網路(Virtual Private Network; VPN)主要採用的資訊安全技術，其中不包括下列何者？(*146-148),穿隧(Tunneling) ,加解密(Encryption & Decryption),應用層過濾器(Application Filter) ,密鑰管理(Key Management),202011,
Ans1,20. 對於超高速乙太網路(Gigabit Ethernet)的敘述，下列何者不正確？(*121~122),採用非同步傳輸模式(ATM)封包大小固定為 53bytes,制定的標準為 IEEE 802.3z,採用具碰撞偵測的載波感應多元存取(CSMA/CD)協定,支援 Cat. 5 的 UTP 雙絞線，也可以透過光纖傳輸,202011,
Ans4,21. 資訊安全的目標有所謂的 C.I.A.三原則，是指下列何者？(*137),防火牆、虛擬私有網路和認證中心,保護資料、系統和設備不要被駭客攻擊,資料的加密、解密和密鑰管理,保護資料及系統資源的機密性、整體性和可取用性,202011,
