Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans3,24.「電子簽章法案」是規範電子簽章的相關作業，確立電子簽章的法律效力，做為電子商務與電子資料交換的作業基準；下列那些原則是此法建立的基礎？ (*18),技術中立、資料完整、契約自由,技術中立、資料完整、市場導向,技術中立、契約自由、市場導向,資料完整、契約自由、市場導向,200909,(*18),1
Ans1,34.下列何種型式是目前台灣醫療機構主要作為內部組織設計的依據？ (*12),功能式 ,專科性 ,矩陣式 ,平行式,200909,(*12),1
Ans1,42.衛生署增列社團法人醫療機構類型，與現行財團法人醫療機構合稱為下列哪種醫療機構？(*7),法人 ,自然人,私人 ,以上皆非,201010,(*7),1
Ans4,43.為解決政府財務及人事等壓力，部分公立機構將所屬醫院委託民間企業或私立醫學院校經營，下列哪家醫院屬於 BOT(Build、Operate、Transfer)的醫院？(*11),台北市萬芳醫院 ,台南市立醫院,高雄市立小港醫院 ,署立雙和醫院,201010,(*11),1
Ans4,44.通過甲級教學醫院評鑑者可訓練下列哪種醫師？(*12),見習醫師 ,實習醫師,住院醫師 ,以上皆是,201010,(*12),1
Ans1,24. 處方箋會出現「首日量」，是因為： (*19), 病患第一天使用但無法跟上固定調劑時間的藥物調劑需求, 病患住院第一天所要的藥物需求, 病患出院第一天所要的藥物需求, 病患用單一劑量處方所開的藥物需求,201109,(*19),1
Ans1,"45. 醫院藥品管理系統中的詞彙說明，下列何者為非: (*15,19)", 『UD』指一次只給一種藥, 『DC』指取消醫(藥)囑, 『首日量』指病人第一天住院所使用藥物劑量需求, 『stat order』指藥囑配發一次量，每次劑量等於總量,201109,"(*15,19)",1
Ans3,12.醫療機構之組織型態將會影響機構的營運與效率。臺灣目前醫院之組織型態大多屬於何種形式?(*11), 矩陣式 ,專科式 , 功能式 ,平行式,201511,(*11),1
Ans1,9. 醫療機構之組織型態將會影響機構的營運與效率。臺灣目前醫院之組織型態大多屬於何種形式？(*11),功能式 ,專科式 ,矩陣式 ,平行式,201610,(*11),1
Ans4,9. 全球健康照護管理核心能力的目標是希望將領導及管理能力專業化，以提升全球健康照護的成果。請問下列何者不屬於 5 大核心能力之一？(*19),專業及社會責任 ,健康及醫療照護環境,經營技巧及原則 ,以上皆屬於 5 大核心能力之一,201811,(*19),1
Ans4,9. 平行式組織架構是為了要促進產品的品質而發展出來的ㄧ種組織形式，舊有官僚式的組織形式往往只負責例行的作業，而平行式的組織架構則可用來解決下列那一項？(*17),簡單的問題 ,突發的狀況 ,隱藏的危機 ,複雜的難題,202004,(*17),1
Ans1、3,"14.美國病歷協會(MRI)將電子病歷發展分病歷自動化(AutomatedMedical Records, AMD)、電腦化病歷系統(Computerized Medical Record System,CMR)、電子病歷(Electronic Medical Record, EMR)、電子病患資料系統(ElectronicPatient Record System, EPR)、及電子健康資訊系統(Electronic Health Record,EHR)五階段，目前醫療院所病歷發展大都在什麼階段?(*2)",電腦化病歷系統(CMR) ,電子病患資料系統(EPR),電子病歷(EMR) ,電子健康資訊系統(EHR),200811,(*2),2
Ans4,31.電子病歷的發展階段最後是朝向哪一階段? ( *37),電子化病歷系統(CMR) ,電子病歷(EMR),電子病患資料系統(EPRS) ,電子健康資訊系統(EHR),200909,(*37),2
Ans1,10. 世界衛生組織在其 1999 年及 2000 年的年報中已清楚揭示前瞻性醫療支付制度為21 世紀的趨勢與潮流，請問下列何者最適合台灣全民健保未來所採取的制度 (*28),論人計酬制度 ,論量計酬制度,總額預算,以上皆非,201003,(*28),2
Ans3,45.由於第三者之介入，促使醫療市場邁入醫療提供者、病患與醫療保險者三者之間新的互動關係，請問第三者是指？(*26),醫療提供者 ,病患,醫療保險者 ,政府機構,201010,(*26),2
Ans4,46.醫療服務慢慢從以往著重在醫療照護的層面，逐步地走向下列哪種照護的層面？(*31),個人 ,居家 ,社區 ,健康,201010,(*31),2
Ans1,47.電子病歷係指一個人的健康或醫療資訊藉由電腦加以儲存的集合，並可由下列哪種識別碼加以連結？(*37),個人識別碼 ,外來識別碼,主要識別碼 ,醫院識別碼,201010,(*37),2
Ans2,48.隨著 DNA 技術的研發，生物科技持續快速進步中，醫療產業亦將逐漸由共通性醫療走向下列哪種醫療？(*40),整合化 ,個別化 ,特殊化 ,多樣化,201010,(*40),2
Ans3,"5. 對於未來醫療資訊的發展趨勢，下列敘述何者為非： (*37-41,650)", 由紙本病歷走向電子病歷 , 從醫院管理轉型為醫療管理, 從健康管理轉型為疾病管理 , 從定點醫療走向行動/遠距醫療,201109,"(*37-41,650)",2
Ans2,30. 我國全民健保支付制度有Ａ論人計酬制，Ｂ論量計酬制，Ｃ總額預算制，其推動的時序為:(*28), A -> B -> C , B -> C -> A, B -> A -> C , C -> B -> A,201109,(*28),2
Ans1,37. 電子病歷係指一個人的健康或醫療資訊藉由電腦加以儲存的集合，並可由下列哪種識別碼加以連結? (*37), 個人識別碼 , 外來識別碼 , 主要識別碼 , 醫院識別碼,201203,(*37),2
Ans2,50:下列對於健保給付制度優缺點比較何者有誤 ? (*27-34),論量計酬對於醫師的醫療行為自主權較高，但易間接鼓勵助長醫療費用上漲,論病例計酬可以適用所有疾病項目,論人計酬會使醫院對醫療成本降低，但是會減少醫院對病人的醫療項目影響醫療品質,總額給付，可減低中央健保局財務負擔，但會造成醫院營收減少，可能產生人球事件,201303,(*27-34),2
Ans2、3,34. 我國電子病歷發展目前進入到哪個階段？ (*35), CMR , EMR , EPR , EHR,201403,(*35),2
Ans1,34.下列哪一種資訊系統需由個人、醫療照護提供者以及其他相關者來共同維護?(*34~35), 電子健康記錄系統,電子病歷系統 ,電子病人資料系統 , 電腦化病歷系統,201504,(*34~35),2
Ans4,"34.下列對於實施臨床路徑的敘述何者正確?(*25,85)",所有疾病與手術均適合實施,醫院或醫師不必建立自己的臨床路徑,有提高天數增加醫療費用之優點,改進治療成果，提高醫療品質,201603,"(*25,85)",2
Ans1,40.建構疾病管理轉型到健康管理的整合性醫療服務體系時，其資訊管理系統存在的需求，下列何者有誤?(*38),合理化收費 ,共同標準平台的建立 ,資訊網路化 ,資訊安全性,201603,(*38),2
Ans1,9. 下列哪一種醫療費用支付制度，對於全民健保初期論量計酬收支困境的改善幫助不大？(*31、286),論日計酬 ,論病例計酬 ,論人計酬 ,總額預算制度,201711,(*31、286),2
Ans2,16. 美國病歷協會將電子病歷的發展，區分為幾個不同的階段，下列先後順序，何者正確？(*34),病歷自動化、電子健康紀錄、電子病歷 ,病歷自動化、電子病歷、電子健康紀錄,電子病歷、病歷自動化、電子健康紀錄 ,電子健康紀錄、病歷自動化、電子病歷,201711,(*34),2
Ans3,50. 電子病歷的發展可以分為幾個不同的階段，其中包括電子健康紀錄、病歷自動化、電腦化病歷和電子病歷等，其先後順序為何？(*34),電子健康紀錄、病歷自動化、電腦化病歷和電子病歷,電子病歷、病歷自動化、電腦化病歷和電子健康紀錄,病歷自動化、電腦化病歷、電子病歷和電子健康紀錄,病歷自動化、電子健康紀錄、電腦化病歷和電子病歷,201804,(*34),2
Ans3,10. 衛福部於 2014 年開始推動「臺灣健康雲計畫」，此計畫包含下列哪四朵子雲？(*31),醫藥、衛生、護幼及長照等 .,醫藥、衛生、保健及防疫等,醫療、照護、保健及防疫等 .,以上皆非,201811,(*31),2
Ans3,11. 醫院的數位化是實施跨院電子病歷交換的基礎建設，因為全民健康保險的引導，臺灣醫院的數位化已經相當廣泛、深入。大部分醫院電子病歷系統都可以達到 HIMSS EMR adoptionmodel 的第幾級？(*32),第一級和第二級 ,第二級和第三級 ,第三級和第四級 ,第四級和第五級,201811,(*32),2
